Health Center Type,Health Center Number,BHCMIS Organization Identification Number,BPHC Assigned Number,Site Name,Site Address,Site City,Site Postal Code,Site Telephone Number,Site Web Address,Operating Hours per Week,Health Center Location Setting Identification Number,Health Center Service Delivery Site Location Setting Description,Health Center Status Identification Number,Site Status Description,Health Center Location Identification Number,Health Center Location Type Description,Health Center Type Identification Number,Health Center Type Description,Health Center Operator Identification Number,Health Center Operator Description,Health Center Operating Schedule Identification Number,Health Center Operational Schedule Description,Health Center Operating Calendar Surrogate Key,Health Center Operating Calendar,Health Center Name,Health Center Organization Street Address,Health Center Organization City,Health Center Organization ZIP Code,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate,Geocoding Artifact Rural Status Indicator,Complete County Name,County Equivalent Name
Federally Qualified Health Center (FQHC),H80CS02450,015110,BPS-H80-007472,Mattanawcook Academy School Based Health Center,15 Reed Dr,Lincoln,04457-1713,207-794-6700,www.hanfqhc.org,25,2,School,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,"Health Access Network, Inc.",175 W Broadway,Lincoln,04457-4000,-68.49910736,45.37845576,Y,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS00443,010040,BPS-H80-031467,Temorary Site - Quality Inn Bangor Airport,250 Odlin Rd,Bangor,04401-6704,207-620-1406,,40,7,All Other Clinic Types,1,Active,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,"Maine Mobile Health Program, Inc",9 Green St Ste 1,Augusta,04330-7451,-68.81008118,44.79159623,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-021123,Greater Portland Health at Fred P. Hall Elementary School,23 Orono Rd,Portland,04102-1106,207-874-8205,,1,2,School,1,Active,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Portland Community Health Center,180 Park Ave STE 1,Portland,04102-2927,-70.31716615,43.67846067,N,Cumberland County,Cumberland
Federally Qualified Health Center (FQHC),H80CS02448,015170,BPS-H80-000120,Sebasticook Family Doctors - Dexter,29 Church St,Dexter,04930-1320,207-924-5200,www.hhcme.org,52,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Sebasticook Family Doctors,118 Moosehead Trl STE 5,Newport,04953-4056,-69.28846682,45.02550828,Y,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS02448,015170,BPS-H80-031112,RSU19,291 Williams Rd,Newport,04953-3945,207-368-4213,www.hhcme.org,16,2,School,1,Active,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Sebasticook Family Doctors,118 Moosehead Trl STE 5,Newport,04953-4056,-69.29301132,44.88105058,Y,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-013878,Seaport Community Health Center,53 Schoodic Dr,Belfast,04915-7246,207-338-6900,,72,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-69.02348377,44.41865594,Y,Waldo County,Waldo
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-017491,South Portland Community Health Center,100 Brickhill Ave,South Portland,04106-1999,207-874-2141 x5028,,45,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Portland Community Health Center,180 Park Ave STE 1,Portland,04102-2927,-70.30812945,43.63777592,N,Cumberland County,Cumberland
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-005796,WOODLANDS ASSISTED LIVING BREWER,53 Colonial Cir,Brewer,04412-1448,207-989-7577,,14,4,Nursing Home,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-68.74908197,44.78868302,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-034164,Katahdin Valley Health NH Millinocket,22 Walnut St,Millinocket,04462-2128,207-538-3700,www.kvhc.org,8,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Katahdin Valley Health Center,529 S Patten Rd,Patten,04765-3007,-68.69437664,45.65683017,Y,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-030323,Greater Portland Health at Westbrook High School,125 Stroudwater St,Westbrook,04092-4045,207-854-0810,www.greaterportlandhealth.org,18,2,School,1,Active,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Portland Community Health Center,180 Park Ave STE 1,Portland,04102-2927,-70.35409757,43.67355793,N,Cumberland County,Cumberland
Federally Qualified Health Center (FQHC),H80CS02450,015110,BPS-H80-005692,KATAHDIN NURSING HOME,22 Walnut St,Millinocket,04462-2128,207-794-6700,www.hanfqhc.org,10,4,Nursing Home,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,"Health Access Network, Inc.",175 W Broadway,Lincoln,04457-4000,-68.69437664,45.65683017,Y,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-013757,Portland Community Health Center at Preble Street,63 Preble St,Portland,04101-3014,207-874-2141,www.portlandcommunityhealthcenter.org,41.25,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Portland Community Health Center,180 Park Ave STE 1,Portland,04102-2927,-70.26158684,43.65899022,N,Cumberland County,Cumberland
Federally Qualified Health Center (FQHC),H80CS04191,019970,BPS-H80-004002,YORK COUNTY COMMUNITY ACTION CORPORATION,6 Spruce St,Sanford,04073-2917,207-324-5762,n/a,2,7,All Other Clinic Types,1,Active,1,Permanent,1,Administrative,1,Health Center/Applicant,1,Full-Time,1,Year-Round,York County Community Action Corporation,6 Spruce St,Sanford,04073-2917,-70.77148022,43.44238139,Y,York County,York
Federally Qualified Health Center (FQHC),H80CS08769,0115570,BPS-H80-012876,Pines Kimball Community Health Center,11 Harmony Ln,Fort Fairfield,04742-3354,207-472-0590,www.pineshealthservices.org,50,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Pines Health Services,74 Access Hwy,Caribou,04736-3807,-67.84407196,46.76702393,Y,Aroostook County,Aroostook
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-006400,BANGOR NURSING & REHABILITATION CENTER,103 Texas Ave,Bangor,04401-4324,207-947-4557,,32,4,Nursing Home,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-68.80010184,44.80854403,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS00526,013470,BPS-H80-002146,EAST GRAND HEALTH CENTER,201 Houlton Rd,Danforth,04424-3140,207-448-2347,eghc.org,42,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,2,Subrecipient,1,Full-Time,1,Year-Round,St Croix Regional Family Health Center,136 Mill St,Princeton,04668-3344,-67.86215365,45.66667137,Y,Washington County,Washington
Federally Qualified Health Center (FQHC),H80CS00443,010040,BPS-H80-002348,Temporary Site - MAINE MOBILE HEALTH PROGRAM,9 Green St,Augusta,04330-7451,207-622-9252,www.mainemobile.org,40,7,All Other Clinic Types,1,Active,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,"Maine Mobile Health Program, Inc",9 Green St Ste 1,Augusta,04330-7451,-69.77644094,44.31281438,Y,Kennebec County,Kennebec
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-006681,BANGOR AREA HOMELESS SHELTER,26 Cedar St,Bangor,04401-7800,207-947-6018,,1,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-68.77378931,44.79694909,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS00443,010040,BPS-H80-024875,MMHP Lewiston,11 Lisbon St Ste 102C,Lewiston,04240-7198,207-622-9252,mainemobile.org,,0,Unknown,1,Active,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,"Maine Mobile Health Program, Inc",9 Green St Ste 1,Augusta,04330-7451,-70.21809893,44.09840546,N,Androscoggin County,Androscoggin
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-005152,ELIZABETH LEVINSON CENTER,159 Hogan Rd,Bangor,04401-5603,207-941-4400,,3,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-68.73888924,44.81973021,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC) Look-Alike,LALCS00085,01E00188,BPS-LAL-017566,CCS Behavioral at LAIM (Room A),3 Willow Run,Auburn,04210-8501,207-513-3550,http://www.stmarysmaine.com/Our-Providers/l-a-internal-medicine.html,8,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,"Community Clinical Services, Inc.",B St Community Ctr 57 Birch St Ste 201,Lewiston,04240,-70.235053,44.120156,N,Androscoggin County,Androscoggin
Federally Qualified Health Center (FQHC),H80CS06657,010450,BPS-H80-023366,North Haven Community School,93 Pulpit Harbor Rd,North Haven,04853-3100,207-867-4707,,8,2,School,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,"ISLANDS COMMUNITY MEDICAL SERVICES, INC.",15 Medical Center Loop,Vinalhaven,04863-4119,-68.87631129,44.14992667,Y,Knox County,Knox
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-030707,Temporary Site-Healthcare for the Homeless,20 Portland St,Portland,04101-2912,207-805-3886,,40,7,All Other Clinic Types,1,Active,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Portland Community Health Center,180 Park Ave STE 1,Portland,04102-2927,-70.2621672,43.65843744,N,Cumberland County,Cumberland
Federally Qualified Health Center (FQHC),H80CS02450,015110,BPS-H80-003390,HAN FAMILY DENTAL ,9 Main St,Lincoln,04457-1253,207-794-6700,www.hanfqhc.org,45,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,"Health Access Network, Inc.",175 W Broadway,Lincoln,04457-4000,-68.50439519,45.36251951,Y,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-005829,TREATS FALLS HOUSE,2 Hillside Rd,Orono,04473-4459,207-866-3769,,4,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-68.65900232,44.88830814,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC) Look-Alike,LALCS00085,01E00188,BPS-LAL-012867,CCS Second Street Health Center,60 Second St,Auburn,04210-6853,207-755-3456,www.communityclinicalservices.com,54,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,0,Unknown,"Community Clinical Services, Inc.",B St Community Ctr 57 Birch St Ste 201,Lewiston,04240,-70.22119939,44.08707418,N,Androscoggin County,Androscoggin
Federally Qualified Health Center (FQHC),H80CS08769,0115570,BPS-H80-002796,Pines ST. JOHN VALLEY HEALTH CENTER,4 Main St,Van Buren,04785-1009,207-868-2796,www.pineshealthservices.org,50,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Pines Health Services,74 Access Hwy,Caribou,04736-3807,-67.92764573,47.15167366,Y,Aroostook County,Aroostook
Federally Qualified Health Center (FQHC) Look-Alike,LALCS00085,01E00188,BPS-LAL-009921,Lewiston High School-Based Health Center,156 East Ave,Lewiston,04240-5626,207-795-4144,www.communityclinicalservices.com,40,2,School,1,Active,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,"Community Clinical Services, Inc.",B St Community Ctr 57 Birch St Ste 201,Lewiston,04240,-70.20192445,44.09318027,N,Androscoggin County,Androscoggin
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-018698,Greater Portland Health at Deering High School,370 Stevens Ave,Portland,04103-2607,207-874-8260,,24.5,2,School,1,Active,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Portland Community Health Center,180 Park Ave STE 1,Portland,04102-2927,-70.29630317,43.67154041,N,Cumberland County,Cumberland
Federally Qualified Health Center (FQHC),H80CS00526,013470,BPS-H80-003987,ST. CROIX REGIONAL FAMILY HEALTH CENTER,136 Mill St,Princeton,04668-3344,207-796-5503,scrfhc.org,44,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,St Croix Regional Family Health Center,136 Mill St,Princeton,04668-3344,-67.56347366,45.23038999,Y,Washington County,Washington
Federally Qualified Health Center (FQHC),H80CS00591,010340,BPS-H80-027630,Jewett School,66 Bridge St,Bucksport,04416-4087,207-469-6644,,32,2,School,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Bucksport Regional Health Center,110 Broadway,Bucksport,04416-4612,-68.78688016,44.57598699,Y,Hancock County,Hancock
Federally Qualified Health Center (FQHC),H80CS00630,010570,BPS-H80-002183,Eastport Health Care Machias,53 Fremont St,Machias,04654-1320,207-255-0247,http://www.eastporthealth.org,41,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Eastport Health Care Inc,30 Boynton St,Eastport,04631-1306,-67.46144713,44.70989933,Y,Washington County,Washington
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-032270,PCHC Main Lab,992 Union St Ste J,Bangor,04401-3057,207-992-2336,,45,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-68.80715883,44.81553855,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS00396,010530,BPS-H80-007493,MERCY HOME ,3388 Aroostook Rd,Eagle Lake,04739-3239,207-444-5152,N/A,6,4,Nursing Home,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,Fish River Rural Health,10 Carter St,Eagle Lake,04739-3060,-68.59580998,47.03619371,Y,Aroostook County,Aroostook
Federally Qualified Health Center (FQHC),H80CS00443,010040,BPS-H80-005367,MIGRANT VOUCHER & MOBILE MEDICAL VAN DOWNEAST REG.,9 Green St,Augusta,04330-7451,207-622-9252,www.mainemigrant.org,40,7,All Other Clinic Types,1,Active,5,Mobile Van,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,2,Seasonal,"Maine Mobile Health Program, Inc",9 Green St Ste 1,Augusta,04330-7451,-69.77644094,44.31281438,Y,Kennebec County,Kennebec
Federally Qualified Health Center (FQHC),H80CS06657,010450,BPS-H80-007286,VINALHAVEN ELDERCARE SERVICES,17 Beaver Dam Rd,Vinalhaven,04863-3915,207-863-9980,none,2,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,"ISLANDS COMMUNITY MEDICAL SERVICES, INC.",15 Medical Center Loop,Vinalhaven,04863-4119,-68.82529681,44.04999128,Y,Knox County,Knox
Federally Qualified Health Center (FQHC) Look-Alike,LALCS00085,01E00188,BPS-LAL-017567,CCS Behavioral at SMMA,99 Campus Ave STE 201,Lewiston,04240-6045,207-777-8810,http://www.stmarysmaine.com/Our-Providers/st-marys-medical-associates.html,30,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,"Community Clinical Services, Inc.",B St Community Ctr 57 Birch St Ste 201,Lewiston,04240,-70.1983841,44.10127991,N,Androscoggin County,Androscoggin
Federally Qualified Health Center (FQHC) Look-Alike,LALCS00085,01E00188,BPS-LAL-017571,CCS Behavioral at AMA,2 Great Falls Plz STE 21,Auburn,04210-5966,207-330-3950,http://www.stmarysmaine.com/Our-Providers/auburn-medical-associates.html,16,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,"Community Clinical Services, Inc.",B St Community Ctr 57 Birch St Ste 201,Lewiston,04240,-70.22601522,44.09871853,N,Androscoggin County,Androscoggin
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-009214,Hope House,181 Corporate Dr,Bangor,04401-4314,207-992-2636,,45,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-68.80581756,44.80451333,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS00797,010460,BPS-H80-008099,HealthReach Community Health Centers,10 Water St STE 305,Waterville,04901-6566,207-872-5610,www.healthreachchc.org,,0,Unknown,1,Active,1,Permanent,1,Administrative,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Healthreach Community Health Centers,10 Water St STE 305,Waterville,04901-6566,-69.62954608,44.5461622,Y,Kennebec County,Kennebec
Federally Qualified Health Center (FQHC),H80CS02448,015170,BPS-H80-002945,Sebasticook Family Doctors,118 Moosehead Trl STE 5,Newport,04953-4056,207-368-5189,www.hhcme.org,50,7,All Other Clinic Types,1,Active,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Sebasticook Family Doctors,118 Moosehead Trl STE 5,Newport,04953-4056,-69.28172199,44.84183413,Y,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-018696,Greater Portland Health at Casco Bay High School,196 Allen Ave,Portland,04103-3711,207-874-8160,,16.5,2,School,1,Active,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Portland Community Health Center,180 Park Ave STE 1,Portland,04102-2927,-70.29394249,43.6973363,N,Cumberland County,Cumberland
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-019504,KVHC Houlton Elementary School,60 South St,Houlton,04730-1500,207-538-3700,www.kvhc.org,8,2,School,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Katahdin Valley Health Center,529 S Patten Rd,Patten,04765-3007,-67.84501492,46.11126733,Y,Aroostook County,Aroostook
Federally Qualified Health Center (FQHC),H80CS08769,0115570,BPS-H80-002630,PINES Caribou Health Center,74 Access Hwy,Caribou,04736-3807,207-498-2356,www.pineshealthservices.org,60.5,7,All Other Clinic Types,1,Active,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Pines Health Services,74 Access Hwy,Caribou,04736-3807,-67.99254429,46.87401419,Y,Aroostook County,Aroostook
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-003873,PENOBSCOT COMMUNITY HLTH CENTER,1012 Union St,Bangor,04401-3060,207-945-5247,,72,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-68.80883731,44.81480346,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-007061,ROSS MANOR,758 Broadway,Bangor,04401-3224,207-941-8400,,38,4,Nursing Home,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-68.78261821,44.82683681,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS04191,019970,BPS-H80-032645,Nasson Health Care - Biddeford,357 Elm St,Biddeford,04005-3022,207-490-6900,,8,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,York County Community Action Corporation,6 Spruce St,Sanford,04073-2917,-70.46881783,43.48534363,N,York County,York
Federally Qualified Health Center (FQHC),H80CS00458,011230,BPS-H80-001882,SACOPEE VALLEY HEALTH CENTER,70 Main St,Porter,04068-3527,207-625-8126,www.svhc.org,51,7,All Other Clinic Types,1,Active,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,SACOPEE VALLEY HEALTH CENTER,70 Main St,Porter,04068-3527,-70.88573042,43.81056491,Y,Oxford County,Oxford
Federally Qualified Health Center (FQHC) Look-Alike,LALCS00085,01E00188,BPS-LAL-017568,CCS Behavioral at Poland,1230 Maine St RM A,Poland,04274-7325,207-998-4483,http://www.stmarysmaine.com/Our-Providers/poland-family-practice.html,20,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,"Community Clinical Services, Inc.",B St Community Ctr 57 Birch St Ste 201,Lewiston,04240,-70.39538146,44.06293568,N,Androscoggin County,Androscoggin
Federally Qualified Health Center (FQHC),H80CS00150,010380,BPS-H80-006408,SCHOOL HEALTH CLINIC AT LUBEC,44 South St,Lubec,04652-4002,207-733-2432,www.rmcl.org,35,2,School,1,Active,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,2,Seasonal,REGIONAL MEDICAL CENTER AT LUBEC ME INC,43 S Lubec Rd,Lubec,04652-3620,-66.98824209,44.85514317,Y,Washington County,Washington
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-012280,Portland Community Health Center,180 Park Ave,Portland,04102-2957,207-874-2141,www.portlandcommunityhealthcenter.org,55,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Portland Community Health Center,180 Park Ave STE 1,Portland,04102-2927,-70.27427235,43.65598175,N,Cumberland County,Cumberland
Federally Qualified Health Center (FQHC),H80CS00797,010460,BPS-H80-033503,Lawrence High School Health Center,9 School St,Fairfield,04937-1326,207-861-9666,,10,2,School,1,Active,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Healthreach Community Health Centers,10 Water St STE 305,Waterville,04901-6566,-69.60521727,44.58920013,Y,Somerset County,Somerset
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-021375,KVHC Brownville Elementary School,744 Main Rd,Brownville,04414-3213,207-538-3700,www.kvhc.org,5,2,School,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Katahdin Valley Health Center,529 S Patten Rd,Patten,04765-3007,-69.04001726,45.32208959,Y,Piscataquis County,Piscataquis
Federally Qualified Health Center (FQHC),H80CS06657,010450,BPS-H80-000416,ISLANDS COMMUNITY MEDICAL SERVICES,15 Medical Center Loop,Vinalhaven,04863-4119,207-863-4341,www.vinalhaven.org/islands 201835,36,7,All Other Clinic Types,1,Active,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,"ISLANDS COMMUNITY MEDICAL SERVICES, INC.",15 Medical Center Loop,Vinalhaven,04863-4119,-68.83067971,44.04648251,Y,Knox County,Knox
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-006411,WESTGATE MANOR NURSING HOMES,750 Union St,Bangor,04401-3125,207-942-7336,,25,4,Nursing Home,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-68.79768787,44.81094644,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-021121,Greater Portland Health at Presumpscot Elementary School,69 Presumpscot St,Portland,04103-5201,207-874-8220,,1,2,School,1,Active,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Portland Community Health Center,180 Park Ave STE 1,Portland,04102-2927,-70.2603578,43.68446584,N,Cumberland County,Cumberland
Federally Qualified Health Center (FQHC),H80CS00591,010340,BPS-H80-000431,BUCKSPORT REGIONAL HEALTH CENTER,110 Broadway,Bucksport,04416-4612,207-469-7371,www.brhc.info,44,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Bucksport Regional Health Center,110 Broadway,Bucksport,04416-4612,-68.78036155,44.57621091,Y,Hancock County,Hancock
Federally Qualified Health Center (FQHC),H80CS00802,013250,BPS-H80-002993,HARRINGTON FAMILY HEALTH CENTER,50 E Main St,Harrington,04643-3043,207-483-4502,http://www.harringtonfamilyhealth.org,48,7,All Other Clinic Types,1,Active,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Harrington Family Health Center,50 E Main St,Harrington,04643-3043,-67.79620886,44.6219999,Y,Washington County,Washington
Federally Qualified Health Center (FQHC),H80CS00797,010460,BPS-H80-002780,BETHEL FAMILY HEALTH CENTER,32 Railroad St,Bethel,04217-3819,207-824-2193,www.healthreachchc.org,53.5,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Healthreach Community Health Centers,10 Water St STE 305,Waterville,04901-6566,-70.79123528,44.4102242,Y,Oxford County,Oxford
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-001061,Community Care and Geriatrics,992 Union St,Bangor,04401-3057,207-945-5247,,47,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-68.80715883,44.81553855,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS00458,011230,BPS-H80-008969,Sacopee Valley Health Center,49 Summer St,Porter,04068-3536,207-625-8126,www.svhc.org,8,7,All Other Clinic Types,1,Active,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,SACOPEE VALLEY HEALTH CENTER,70 Main St,Porter,04068-3527,-70.88724755,43.81099302,Y,Oxford County,Oxford
Federally Qualified Health Center (FQHC),H80CS00443,010040,BPS-H80-028257,Blueberry Harvest School,39 Washington St,Milbridge,04658-3527,207-546-2210,mainemobile.org,40,2,School,1,Active,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,"Maine Mobile Health Program, Inc",9 Green St Ste 1,Augusta,04330-7451,-67.88641758,44.53676257,Y,Washington County,Washington
Federally Qualified Health Center (FQHC),H80CS00396,010530,BPS-H80-030127,School-Based Health Center-Frenchville,443 US Route 1,Frenchville,04745-6115,207-834-3971,,4,2,School,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Fish River Rural Health,10 Carter St,Eagle Lake,04739-3060,-68.42880289,47.27983936,Y,Aroostook County,Aroostook
